[EVAL][125/276] final11_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.05979sec 
[EVAL][126/276] final11_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.03391sec 
[EVAL][127/276] final11_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.93878sec 
[EVAL][128/276] final11_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08507sec 
[EVAL][129/276] final11_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.98961sec 
[EVAL][130/276] final11_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.10805sec 
[EVAL][131/276] final11_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.06527sec 
[EVAL][132/276] final11_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.13247sec 
[EVAL][133/276] final12_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.06865sec 
[EVAL][134/276] final12_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.09230sec 
[EVAL][135/276] final12_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.12279sec 
[EVAL][136/276] final12_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.99824sec 
[EVAL][137/276] final12_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.00100sec 
[EVAL][138/276] final12_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.15434sec 
[EVAL][139/276] final12_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.09643sec 
[EVAL][140/276] final12_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.13734sec 
[EVAL][141/276] final12_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.06774sec 
[EVAL][142/276] final12_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08518sec 
[EVAL][143/276] final12_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08286sec 
[EVAL][144/276] final12_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.15570sec 
[EVAL][145/276] final13_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.94881sec 
[EVAL][146/276] final13_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.04647sec 
